phone,sonorant,syllabic,consonantal,high,back,front,low,round,anterior,coronal,voice,continuant,nasal,strident
AA,1,1,0,0,1,0,1,0,0,0,0,0,0,0
AE,1,1,0,0,0,1,1,0,0,0,0,0,0,0
AH,1,1,0,0,1,0,0,0,0,0,0,0,0,0
AO,1,1,0,0,1,0,1,1,0,0,0,0,0,0
AW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AX,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AXR,1,1,0,0,0,0,1,0,0,0,0,0,0,0
AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ER,1,1,0,0,0,0,0,1,0,0,0,0,0,0
EY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IH,1,1,0,1,0,1,0,0,0,0,0,0,0,0
IX,1,1,0,1,0,0,0,0,0,0,0,0,0,0
IY,1,1,0,1,0,1,0,0,0,0,0,0,0,0
OW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,1,1,0,1,1,0,0,1,0,0,0,0,0,0
UW,1,1,0,1,1,0,0,1,0,0,0,0,0,0
EL,1,1,1,0,0,0,0,0,1,1,1,1,0,0
HH,1,0,0,0,0,0,1,0,0,0,0,1,0,0
L,1,0,1,0,0,0,0,0,1,1,1,1,0,0
R,1,0,1,0,0,0,0,0,0,1,1,1,0,0
W,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Y,1,0,0,1,0,1,0,0,0,0,0,0,0,0
EM,1,1,1,0,0,0,0,0,1,0,1,0,1,0
EN,1,1,1,0,0,0,0,0,1,1,1,0,1,0
M,1,0,1,0,0,0,0,0,1,0,1,0,1,0
N,1,0,1,0,0,0,0,0,1,1,1,0,1,0
NG,1,0,1,1,0,0,0,0,0,0,1,0,1,0
B,0,0,1,0,0,0,0,0,1,0,1,0,0,0
D,0,0,1,0,0,0,0,0,1,1,1,0,0,0
G,0,0,1,1,0,0,0,0,0,0,1,0,0,0
K,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P,0,0,1,0,0,0,0,0,1,0,0,0,0,0
T,0,0,1,0,0,0,0,0,1,1,0,0,0,0
BCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DH,0,0,1,0,0,0,0,0,1,1,1,1,0,0
F,0,0,1,0,0,0,0,0,1,0,0,1,0,1
S,0,0,1,0,0,0,0,0,1,1,0,1,0,1
SH,0,0,1,1,0,0,0,0,0,1,0,1,0,1
TH,0,0,1,0,0,0,0,0,1,1,0,1,0,0
V,0,0,1,0,0,0,0,0,1,0,1,1,0,1
Z,0,0,1,0,0,0,0,0,1,1,1,1,0,1
ZH,0,0,1,1,0,0,0,0,0,1,1,1,0,1
CH,0,0,1,1,0,0,0,0,0,1,0,0,0,1
JH,0,0,1,1,0,0,0,0,0,1,1,0,0,1
SIL,1,1,1,0,0,0,0,0,0,1,0,0,0,0
